Negara,GDP Per Kapita,Inovasi,Populasi
Indonesia,15836,30.6,281200000
China,23309,56.3,1422600000
Singapura,133108,61.2,5800000
Malaysia,37083,40.5,35100000
Korea Selatan,56709,60.9,51700000
Jepang,52210,54.1,124400000
Amerika Serikat,80412,62.4,343000000
India,9183,38.3,1439200000
Vietnam,14285,36.2,100400000
Filipina,11326,31.1,114900000
Australia,64674,48.1,26500000
Selandia Baru,53809,45.9,5200000
Iran,19942,28.9,90600000
Belgia,65813,47.7,11700000
Rusia,35310,29.7,145800000
Inggris,56836,61,68700000
Denmark,74958,57.1,5900000
Finlandia,59869,59.4,5600000
Perancis,58765,55.4,66400000
Jerman,66038,58.1,84500000
Spanyol,50472,44.9,47900000
Portugal,45227,43.7,10400000
Italia,54259,45.3,59500000
Swiss,89537,67.5,8900000
Norwegia,82316,49.1,5500000
Swedia,66209,64.5,10600000
Meksiko,24976,30.4,129700000
Mesir,17123,23.7,114500000
Pakistan,6774,22,247500000
Afrika Selatan,16211,28.3,63200000
Belanda,73317,58.8,18100000
Kanada,59813,52.9,39300000
Turki,41888,39,87300000
Arab Saudi,68453,33.9,32300000
Brasil,20079,32.7,211100000
Israel,54771,52.7,9300000
